---------------------------------------------------
| INDEX |                 INFO | PARENT |  L-SIB |
---------------------------------------------------
|     1 |              Program |      0 |      0 |
|     2 |     Declaration_list |      1 |      0 |
|     3 |              Cmpstmt |      1 |      2 |
|     4 |          Declaration |      2 |      0 |
|     5 |     Declaration_list |      2 |      4 |
|     6 |                 Type |      3 |      0 |
|     7 |           IDENTIFIER |      3 |      6 |
|     8 |                  int |      4 |      0 |
|     9 |          Declaration |      5 |      0 |
|    10 |                 Type |      6 |      0 |
|    11 |           IDENTIFIER |      6 |     10 |
|    12 |                    = |      6 |     11 |
|    13 |                CONST |      6 |     12 |
|    14 |                  int |      9 |      0 |
|    15 |                 Stmt |     10 |      0 |
|    16 |              Cmpstmt |     10 |     15 |
|    17 |               IOstmt |     15 |      0 |
|    18 |                 cout |     16 |      0 |
|    19 |                   << |     16 |     18 |
|    20 |                CONST |     16 |     19 |
|    21 |                 Stmt |     17 |      0 |
|    22 |              Cmpstmt |     17 |     21 |
|    23 |               IOstmt |     21 |      0 |
|    24 |                  cin |     22 |      0 |
|    25 |                   >> |     22 |     24 |
|    26 |           IDENTIFIER |     22 |     25 |
|    27 |                 Stmt |     23 |      0 |
|    28 |              Cmpstmt |     23 |     27 |
|    29 |          Struct_stmt |     27 |      0 |
|    30 |             For_stmt |     28 |      0 |
|    31 |                  for |     29 |      0 |
|    32 |                    [ |     29 |     31 |
|    33 |             For_loop |     29 |     32 |
|    34 |                    ] |     29 |     33 |
|    35 |                    { |     29 |     34 |
|    36 |              Cmpstmt |     29 |     35 |
|    37 |                    } |     29 |     36 |
|    38 |                  int |     30 |      0 |
|    39 |           IDENTIFIER |     30 |     38 |
|    40 |                    = |     30 |     39 |
|    41 |                CONST |     30 |     40 |
|    42 |                    . |     30 |     41 |
|    43 |           IDENTIFIER |     30 |     42 |
|    44 |         For_relation |     30 |     43 |
|    45 |           IDENTIFIER |     30 |     44 |
|    46 |                    . |     30 |     45 |
|    47 |           IDENTIFIER |     30 |     46 |
|    48 |                   ++ |     30 |     47 |
|    49 |                   <= |     33 |      0 |
|    50 |                 Stmt |     36 |      0 |
|    51 |          Assign_stmt |     44 |      0 |
|    52 |           IDENTIFIER |     50 |      0 |
|    53 |                    = |     50 |     52 |
|    54 |           Expression |     50 |     53 |
|    55 |                 Term |     51 |      0 |
|    56 |       Math_operators |     51 |     55 |
|    57 |                 Term |     51 |     56 |
|    58 |           IDENTIFIER |     54 |      0 |
|    59 |                    * |     55 |      0 |
|    60 |           IDENTIFIER |     56 |      0 |
|    61 |                 Stmt |     57 |      0 |
|    62 |               IOstmt |     61 |      0 |
|    63 |                 cout |     62 |      0 |
|    64 |                   << |     62 |     63 |
|    65 |           IDENTIFIER |     62 |     64 |
---------------------------------------------------
